,No,Place,Title,Type,Price,Programme,Advert,Review,Notes,DateTime
3299,3300,HSQ,GIORNOVICHI 90,CB,10s 6d,1: HAYDN OV; CN OB BRANDI; SG BIANCHI-3; CN HN PIELTAIN-pj; CN VN GIORNOVICHI (WITH AIR_RUSSE).  2: HAYDN SYM; SG BIANCHI-3; CN PF DUSSEK / LSN pf DUSSEK; SG PIELTAIN~; CN VN GIORNOVICHI. [later omitted: DT 2v CROUCH~ KELLY-m.] [v STORACE~ ?],TI; TI 15 Mar,WO 20 Mar; WO 22 Mar (news); MH 20 Mar; The Journals and Letters of Susan Burney ed Olleson (Farnham 2012) 240,,1790-03-19 20:00:00
3300,3301,HSQ ,PROFESSIONAL 90 6TH,CS,,1: PLEYEL OV; SG BIANCHI-3 [not cantelo~]; BACH QNT FL OB VN VA VC FLORIO PARKE CRAMER-w BLAKE CERVETTO-j; SG CANTELO~; GYROWETZ CNTE VN VA VC CRAMER-w BLAKE CERVETTO-j (NEW MS).  2: HAYDN OV / HAYDN SYM (NEW MS); sg MARCHESI <SCENA>; SN PF CLEMENTI; SG CANTELO~; ROSETTI SYM.,MH (Yale); TI,GZ 23 Mar,[McVeigh-Professional 82.],1790-03-22 20:00:00
3301,3302,FMH,CIZO 90,CB,,[CIZO.],TI 6 Feb,,Patronage of the Academy of Ancient Music.,
3302,3303,DL,DL ORATORIO 90 [10TH],OS,B 5s; P 3s; FG 2s; SG 1s,SELECTION FROM HANDEL PURCELL GLUCK [items listed]. COND ARNOLD; LEAD SHAW; V REINHOLD ROMANZINI~ CIZO HAGLEY~ DIGNUM STORACE~; vc MASON. [includes:] CN VN BRIDGETOWER; CN BN PARKINSON.,PA,,[LS (with full details).] Selection desired by the directors and subscriberss to the Academy of Ancient Music.,1790-03-24 18:30:00
3303,3304,CG,CG ORATORIO 90 [10TH],OS,B 5s; P 3s; FG 2s; SG 1s,FAV SELECTION FROM HANDEL [items listed]. COND HARRISON ASHLEY-j; LEAD ASHLEY-Gc <G>; ORG GREATOREX; V HARRISON SALE SAVILLE POOLE~ MAHON~s DALL~ CANTELO~; OB PATRIA; TPT SARJANT. END PART1: WEBBE SG HARRISON 'THE_MANSION'. END PART2: CN VN GAUTHEROT~.,PA,,[LS (with full details).],1790-03-24 18:30:00
3304,3305,P,PANTHEON 90 9TH,CS,10s 6d,LEAD WEICHSELL.  1: HAYDN OV; MAZZINGHI-j SG BIANCHI-3; PLEYEL QT; GIORDANI-g SG GRAZIANI~ <GIORDANIELLO>; CN FL GRAEFF; ANFOSSI SG PACCHIEROTTI.  2: GYROWETZ SYM (MS); SARTI SG BIANCHI-3; STAMITZ DT VN VC WEICHSELL SPERATI; CIMAROSA SG GRAZIANI~; CN OB FISCHER; PAISIELLO SG PACCHIEROTTI / SARTI SG PACCHIEROTTI; SYM.,GZ; MH (Yale); OR (Yale); TI; WO; DI 24 Mar,The Journals and Letters of Susan Burney ed Olleson (Farnham 2012) 242,[McVeigh-Professional 88.],1790-03-25 20:00:00
3305,3306,DL,DL ORATORIO 90 [11TH],OS,B 5s; P 3s; FG 2s; SG 1s,(FROM HANDEL) o ^REDEMPTION^ <SACRED ORATORIO> [items listed]. COND ARNOLD; LEAD SHAW; V CROUCH~ HAGLEY~ KELLY-m REINHOLD DIGNUM STORACE~. END PART1: CN PF ATTWOOD-t <JUN> (NEW; 1ST TIME). END PART2: CN VN BRIDGETOWER.,PA,PA 27 Mar; MH 27 Mar,[LS (with full details and accounts).] ATTWOOD jun: musician to Prince of Wales.,1790-03-26 18:30:00
3306,3307,CG,CG ORATORIO 90 [11TH],OS,B 5s; P 3s; FG 2s; SG 1s,SELECTION FROM handel; PART3 from handel o ^MESSIAH^ [items listed]. COND HARRISON ASHLEY-j; LEAD ASHLEY-Gc <G>; ORG KNYVETT; V HARRISON SALE GRIFFITHS CHAMPNESS GORE SAVILLE POOLE~ MAHON~s DALL~ CANTELO~. END PART2: CN VN GAUTHEROT~.,PA,PA 27 Mar; PA 29 Mar (thanks),[LS (with full details and accounts).],1790-03-26 18:30:00
3307,3308,FMH,HUTTLEY 90,CB,10s 6d (2 persons),1: HAYDN OV; GL 4V; PLEYEL CNTE OB VN VA VC HUTTLEY HINDMARSH MOUNTAIN MASON; SG SEDGWICK; CN VN BRIDGETOWER; SG PIELTAIN~.  2: SHAW OV from o ^THE_ISLAND_OF_ST_MARGUERITE^; SG SEDGWICK; CN OB HUTTLEY; SG PIELTAIN~; STEVENS GL 5V 'SIGH_NO'; FP.,WO,,,1790-03-29 20:00:00
3308,3309,NH,EYRE~ 90,CB,5s,[EYRE~?],WO 26 Mar,,,1790-03-31 19:00:00
3309,3310,R,RANELAGH 90,GS,2s 6d,1: HANDEL OV; AVISON CNgr; SG GRIFFITHS; HAYDN OV; CN VC ASHLEY-Cj <C_ASHLEY>; SG POOLE~; BACH OV.  2: PLEYEL OV; CORELLI CNgr; SG GRIFFITHS; CN VN ASHLEY-Gc <G_ASHLEY>; GIARDINI OV; SG POOLE~; ABEL OV.,PA; PA 7 Apr,,Opening night. [Repeated 7 Apr.],1790-04-05 20:00:00
3310,3311,P,NEW MUSICAL FUND 90,CB,10s 6d,COND HAYES-p MILLER-e; LEAD CRAMER-w; ORG GREATOREX. 250 PERFORMERS: MANY OF OPERA_ORCH PROFESSIONAL_ORCH; BOYS_OF_CR; CHOIR_OF_WA. 1: BACH SYM 2ORCH (GRAND); HANDEL CH 'HE_GAVE'; CN VC GRIESBACH-H <H>; CALLCOTT SG SALE; BARTHELEMON SL VN BRIDGETOWER + VC ATTWOOD-F <F>; ANDREOZZI SG CANTELO~; HANDEL CH 'HOW_EXCELLENT' (GRAND).   2: RAIMONDI SYM 'LA_CHASSE' (INTERRUPTED BY STORM); VIOTTI CN VN GAUTHEROT~; SARTI SG BIANCHI-3; CN PF CLEMENTI; SG STORACE~; PLEYEL CNTE OB VN VA VC KELLNER-c CRAMER-w BLAKE ELEY (+ FULL ORCH); HANDEL CH 'HALLELUJAH' (GRAND) from HANDEL O ^MESSIAH^.,MH (Yale); programme (British Museum: Banks collection),,Patronage of Prince of Wales and Duke of York.,1790-04-09 19:30:00
3311,3312,HSQ ,PROFESSIONAL 90 7TH,CS,,1: HAYDN OV; CIMAROSA SG CANTELO~; CN BN PARKINSON <J_PARKINSON>; SARTI SG MARCHESI; CN VN GAUTHEROT~.  2: PLEYEL OV; SG MARA~; ABEL CNTE OB VN VC PARKE CRAMER-w CERVETTO-j; SG MARA~; ROSETTI SYM.,TI; WO,WO 13 Apr; GZ 15 Apr; Diaries of Mrs [Caroline] Powys (London 1899) 248,[McVeigh-Professional 82.],1790-04-12 20:00:00
3312,3313,P ,PANTHEON 90 10TH,CS,10s 6d,MORTELLARI-m o ^VENUS_AND_ADONIS^ <VENERE_ED_ADONE>. LEAD WEICHSELL; V PACCHIEROTTI BIANCHI-3 TORREGIANI FERGUSON~ (FIRST APPEARANCE) <MUSICAL DRAMA; WITH CHORUSSES / CANTATA>. CN OB FISCHER.,DI; MH (Yale); TI; WO; GZ 14 Apr,TI 16 Apr; WO 16 Apr,Text by Giannini. [McVeigh-Professional 88.],1790-04-15 20:00:00
3313,3314,HSQ,KRUMPHOLTZ~ 90,CB,10s 6d,DIR WEICHSELL <DIR ORCH>.  1: HAYDN SYM (GRAND); PLEYEL QT VN VN VA VC; SG BIANCHI-3; CN VN WEICHSELL; SG MARCHESI; CN HP KRUMPHOLTZ~. 2: GYROWETZ SYM (NEW MS); SG BIANCHI-3; PLEYEL CNTE OB VN VA VC; SG BIANCHI-3; CN HP KRUMPHOLTZ~; SYM.,PA; MH 12 Mar (Yale),,From 23 Mar (indisposition).,1790-04-16 20:00:00
3314,3315,HSQ ,PROFESSIONAL 90 8TH,CS,,1: PLEYEL OV; SG CANTELO~; CN HN PIELTAIN-pj; SG MARCHESI; CN VN CLEMENT.  2: HAYDN OV; SG MARA~; CN OB PARKE-Wt <W_PARKE>; SG MARA~; BACH SYM.,TI; WO,,[McVeigh-Professional 83.],1790-04-19 20:00:00
3315,3316,P ,PANTHEON 90 11TH,CS,10s 6d,LEAD WEICHSELL.  1: HAYDN OV (GRAND); BIANCHI SG BIANCHI-3; PLEYEL QT; SG PACCHIEROTTI; CN FL GRAEFF.  2: GYROWETZ SYM (MS); SARTI SG BIANCHI-3; PLEYEL CNTE OB VN VA VC (FAV); SG PACCHIEROTTI; CN OB FISCHER; SG PACCHIEROTTI; SYM.,MH (Yale); TI; WO; DI 21 Apr; GZ 21 Apr,,[McVeigh-Professional 89.],1790-04-22 20:00:00
3316,3317,HSQ,CRAMER-w 90,CB,,1: HAYDN OV; PLEYEL QT; SG CANTELO~; SN PF CRAMER-jb (JUST ARRIVED FROM ABROAD); SG MARCHESI; CN VN CRAMER-w.  2: HAYDN OV (GRAND MS); SG BIANCHI-3; SL VN CRAMER-w; SG MARA~; ROSETTI SYM.,TI,,,1790-04-23 20:00:00
3317,3318,HSQ ,PROFESSIONAL 90 9TH,CS,,1: HAYDN OV; SG CANTELO~; PLEYEL QNT VN VN VA VA VC CRAMER-w BORGHI BLAKE HACKWOOD CERVETTO-j; SG MARCHESI; CN VN CRAMER-w.  2: [advertised but OMITTED: BAUMGARTEN-kf CNTE OB OB VN VA VC PARKE PARKE-wt CRAMER-w BLAKE CERVETTO-j]; SG MARA~; SN PF CRAMER-jb; SG MARA~; BACH OV 2ORCH.,TI; WO,WO 28 Apr (apology),[McVeigh-Professional 83.],1790-04-26 20:00:00
3318,3319,FMH,LEARY~ 90,CB,5s; G 2s 6d,1: HAYDN SYM; SG LEARY~; PIELTAIN-dp QT vn pieltain-dp [?]; SG ROMANZINI~; BACH SN PF VINCENT-1 <JUN>; DT 2v LEARY~ NERI-g (FROM KING'S_THEATRE).  2: HAYDN SYM; SG COSTA <DECOSTA> (FROM KING'S_THEATRE); CN VN PIELTAIN-dp; SG DIGNUM; CN FL MONZANI; SG LEARY~; FP.,TI 24 Apr,MH 29 Apr (Yale),,1790-04-28 20:00:00
3319,3320,P ,PANTHEON 90 12TH,CS,10s 6d,LEAD WEICHSELL.  1: HAYDN OV (GRAND); SARTI SG BIANCHI-3; PLEYEL QT; GIORDANI SG GRAZIANI~; SN PF BURNEY-cr <MR>; BERTONI SG PACCHIEROTTI.  2: GYROWETZ SYM (MS); GIORDANI-g SG BIANCHI-3 <GIORDANIELLO>; CN VN WEICHSELL; ANFOSSI SG GRAZIANI~; CN OB FISCHER; PAISIELLO SG PACCHIEROTTI; SYM. [but TI 30 Apr: MORTELLARI-m o ^VENUS_AND_ADONIS^ <OPERA> AGAIN [cf 15 Apr]. V FERGUSON~; HPD MORTELLARI-m.],DI; MH (Yale); TI; WO; GZ 28 Apr,TI 30 Apr; WO 1 May,[McVeigh-Professional 89.],1790-04-29 20:00:00
3320,3321,HSQ,MARA~ 90,CB,,1: HAYDN OV; SG CANTELO~; SN PF CRAMER-jb; SG MARA~; CN VN CRAMER-w; SG MARA~ 'MAD_BESS' + pf vc KNYVETT CERVETTO-j.  2: PLEYEL OV; MARA~ sg MARA~ <RONDO> (COMPOSED BY HERSELF); CN OB PARKE; SG MARCHESI; BACH SYM.,TI,,,1790-04-30 20:00:00
3321,3322,TST,VOGLER 90,MI,Non-subscr: 10s 6d,ORG VOGLER. SN ORG vogler 'CAMILLON'; PIECE ORG vogler (VAR ON 'GOD_SAVE_THE_KING'; SEA_FIGHT).,TI 30 Apr,MH 3 May (Yale); TI 3 May,With permission of subscribers to [Concert of] Ancient Music. [Similarly on 8 May (MH 7 May Yale).],1790-05-01 13:00:00
3322,3323,HSQ ,PROFESSIONAL 90 10TH,CS,,1: HAYDN OV; SG CANTELO~; QT HN PIELTAIN-pj; SG MARA~; BACH CNTE OB VN VA VC PARKE CRAMER-w BLAKE CERVETTO-j.  2: GYROWETZ OV (MS); SG MARCHESI; CN PF PARKE~; SG MARA~; PFEIFFER SYM (MS).,WO,,[McVeigh-Professional 83.],1790-05-03 20:00:00
3323,3324,P,PANTHEON 90 [13TH],CS,10s 6d,LEAD WEICHSELL.  1: HAYDN OV (GRAND); GIORDANI-g SG BIANCHI-3 <GIORDANIELLO>; PLEYEL QT; REICHARDT SG BENDA~ (FIRST APPEARANCE IN ENGLAND); CN FL GRAEFF; PAISIELLO SG PACCHIEROTTI.  2: GYROWETZ SYM (MS); TARCHI SG BIANCHI-3; STAMITZ DT VN VC WEICHSELL SPERATI; NAUMANN SG BENDA~; CN OB FISCHER; PAISIELLO SG PACCHIEROTTI; SYM.,GZ; MH (Yale); TI; WO; DI 5 May,Entry of 6 May in Diary ... of Madame d'Arblay (London 1904-5) iv.373-5,[McVeigh-Professional 89.] [Additional concert.],1790-05-06 20:00:00
3324,3325,HSQ,GAUTHEROT~ 90,CB,10s 6d,DIR SALOMON <DIR ORCH>.  1: HAYDN OV; SG BIANCHI-3; CN VC MENEL; SG CANTELO~; VIOTTI CN VN GAUTHEROT~.  2: GYROWETZ SYM; SG CANTELO~; CN PF CLEMENTI; DAVAUX CNte VN VN GAUTHEROT~ SALOMON; KOZELUCH FP.,TI,,,1790-05-07 20:00:00
3325,3326,HSQ,PROFESSIONAL 90 11TH,CS,,1: GYROWETZ OV (NEW MS); SG CANTELO~; CN BN PARKINSON <J_PARKINSON>; SG MARCHESI; CN VN CRAMER-w.  2: BAUMGARTEN-kf CNTE OB OB BN VN VA VC PARKE PARKE-wt PARKINSON CRAMER-w BLAKE CERVETTO-j; SG MARA~; SN PF CRAMER-jb; SG MARA~; HAYDN SYM.,WO,,[McVeigh-Professional 84.],1790-05-10 20:00:00
3326,3327,HSQ,PARKE 90,CB,,DIR CRAMER-w.  1: HAYDN OV; HANDEL SG PARKE~ 'DOVE_SEI'; CN OB PARKE; STEVENS GL PARKE~ + ? 'O_MISTRESS'; SG BIANCHI-3; KRUMPHOLTZ CN PF PARKE~.  2: HAYDN OV (NEW MS); SG BIANCHI-3; WEBBE GL PARKE~ + ? 'SWIFTLY_FROM'; CN VN CRAMER-w; BIANCHI SG MARA~; ROSETTI SYM.,TI,GZ 13 May; MH 13 May (Yale),,
3327,3328,P,SAINT_GEORGES 90,CB,10s 6d,DIR PIELTAIN-dp <DIR ORCH>.  1: HAYDN OV; SG KELLY-m; sl VC DEREWELL <SN>; SG MARCHESI; SN HP DENIS~.  2: HAYDN SYM; SG MARCHESI; CN PF DUSSEK; SG MARA~; SAINT_GEORGES CN vn SAINT_GEORGES; HAYDN FP.,WO,DI 14 May,With assault [fencing] at 1300.,1790-05-12 20:00:00
3328,3329,HSQ,HARRISON 90,CB,10s 6d,LEAD CRAMER-w.  1: HAYDN OV (GRAND MS); WEBBE GL HARRISON KNYVETT WEBBE 'NON_FIDI' (PRIZE 1790); SARTI SG HARRISON 'SON_QUAL' + OB OB HN HN BN BN; CN PF CLEMENTI; CIMAROSA SG CANTELO~ 'DOVE_SON'; WEBBE GL CANTELO~ HARRISON KNYVETT WEBBE 'SWIFTLY_FROM'; CN VN CRAMER-w.  2: PLEYEL CNTE OB VN VA VC PARKE CRAMER-w ASHLEY-gc MARA; HANDEL SG HARRISON 'PLEASURE'; STEVENS GL CANTELO~ KNYVETT-c2 HARRISON KNYVETT SALE 'O_MISTRESS' <MASTER_KNYVETT> [possibly KNYVETT-w]; CN OB PARKE; GIORDANI-g SG MARA~ 'SENZA_TE' <GIORDANIELLO>; ROSETTI SYM. [but PA 15 May: HARRISON SG 'RENDI_IL'; CANTELO~ SG 'NEL_VENDERMI'.] [earlier programme different order; and PLEYEL for VN VN VA VC with VN DANCE.],WO; PA 16 Apr; PA 11 May,PA 15 May; PA 17 May (thanks); DI 18 May,,1790-05-14 20:00:00
3329,3330,HSQ,PROFESSIONAL 90 12TH,CS,,1: HOFFMEISTER OV (NEW MS); SG CANTELO~; CN OB PARKE <SR>; sg BIANCHI-3 [replaced sg MARCHESI <SCENA>; INDISPOSED]; GYROWETZ CNTE VN VA VC CRAMER-w BLAKE CERVETTO-j.  2: BACH OV 2ORCH (MS); SG MARA~; SN PF CLEMENTI; SG MARA~; GYROWETZ SYM (NEW MS).,WO,GZ 19 May,[McVeigh-Professional 84.],1790-05-17 20:00:00
3330,3331,HSQ,CLAGGET-C,CB,10s 6d,[CLAGGET-C <CHARLES>.] COND ARNOLD; LEAD RAIMONDI [replaced SALOMON.]  1: HAYDN OV (MS); CALLCOTT LSN TELIOCORDONIZED_PF CLAGGET-C ([INSTRUMENT] FIRST TIME); SG STORACE~; CN HN MORTELLARI-1 <CROMATIC_FRENCH_HN>; SG BIANCHI-3; HAYDN SYM (MS).  2: CN VN RAIMONDI; QT FL VN VA VC; SG STORACE~; piece METALLIC_ORGAN; FP. BETWEEN PARTS: HAYDN LSN pf CHILD (WITH PATENT_KEYS; IN ANY KEY).,MH; WO 29 Mar,Musikalische Korrespondenz 1 (1790) 94-5,From 21 Apr. [Clagget's inventions described in some detail. WO 29 Mar uses slightly different names for them.],1790-05-18 20:00:00
3331,3332,V,VAUXHALL 90,GS,3s,INSTRUMENTAL MUSIC SELECTED FROM HANDEL BACH HAYDN VANHAL FISHER ARNE-ta ABEL; I HOOK PARKE PARKINSON SARJANT PIELTAIN; V LEAVER~ NEWMAN~ LEARY~ PAGE* [DARLEY INCLEDON DETAINED AT THEATRES]. BETWEEN PARTS: MARCH DUKE_OF_YORK'S_BAND <MARTIAL MUSIC>.,PA 13 May,,"Opens with gala [etc; not listed]. * Replaces DARLEY (early part of the season). [See Charles Cudworth: 'The Vauxhall ""Lists""' Galpin Society Journal 20 (1967) 24-42.]",1790-05-18 20:00:00
3332,3333,HSQ,LEE 90,CB,,1: HAYDN OV; SG KELLY-m; CN OB PARKE; SG CANTELO~; CN VN CRAMER-w.  2: ROSETTI OV; PERCY GL 'AN_ANSWER_TO_SIGH_NO'; SN PF CRAMER-jb; SG MARA~; BACH SYM.,TI,,,1790-05-19 20:00:00
3333,3334,P,GRAZIANI~ 90,CB,10s 6d,[GRAZIANI~.],MH 18 May (Yale),,,
3334,3335,TST,ASHLEY family 90,CB,10s 6d,[ASHLEY-rg.]  1: HAYDN OV; STEVENS GL 'SIGH_NO'; PLEYEL QT; SG MAHON~s; HANDEL CN ORG ASHLEY-Jj <J_ASHLEY>; SG CANTELO~; CN VC ASHLEY-Cj <C_ASHLEY>.  2: CNte HN HN LEANDER-lh LEANDER-vt; WEBBE gl 'ELEGY_ON...SIR_WATKIN_WILLIAMS_WYNN'; CN VN ASHLEY-Gc <G_ASHLEY>; SG CANTELO~; FP.,TI 24 May,,For Messrs Ashleys.,
3335,3336,P,VOGLER 90,MI,10s 6d,ORG VOGLER. [piece org vogler:]  1: PRELUDE; CANTABILE; BARCAROTE_DE_VENISE; FLUTE_CONCERT.  2: RUSSIEN_SONG; ALEMANDE; MUSIQUE_CHAMPETRE_DE_LA_SUISSE; CARILLON_SONATE.  3: POLONOISE; ADAGIO; PASTORAL_REJOICINGS (INTERRUPTED BY A STORM); FANTASIE_AND_FUGE.,TI 24 May,DI 26 May; DI 7 June (see also PA 30 June),,1790-05-25 13:00:00
3336,3337,WA,HANDEL 90 [1ST],OS,1gn,SELECTION FROM HANDEL SACRED [items listed]. LEAD CRAMER-w; V MARA~ CANTELO~ MAHON~s POOLE~ DALL~ ABRAMS~T <T_ABRAMS> ABRAMS~ STORACE~ PACCHIEROTTI NORRIS KELLY-m SAVILLE SALE NIELD KNYVETT GRIFFITHS CHAMPNESS MATHEWS REYNOLDSON GORE GOSS HUDSON CORFE BARTLEMAN BELLAMY; [instrumentalists listed].,PA; PA 22 May; PA 24 May,PA 27 May [series reviewed in several newspapers],Royal Society of Musicians; for Decayed Musicians Fund; Sons of Clergy; Middlesex Hosp. Rehearsal 22 May (1200; 10s 6d).,1790-05-26 12:00:00
3337,3338,WA,HANDEL 90 [2ND],OS,1gn,handel o ^MESSIAH^. V MARA~ CANTELO~ MAHON~s POOLE~ DALL~ ABRAMS~T <T_ABRAMS> ABRAMS~ STORACE~ PACCHIEROTTI NORRIS KELLY-m SAVILLE SALE NIELD KNYVETT GRIFFITHS CHAMPNESS MATHEWS REYNOLDSON GORE GOSS HUDSON CORFE BARTLEMAN BELLAMY; [instrumentalists listed]. BEFORE PART3: handel CNgr <2ND OB CN>.,PA; PA 22 May; PA 24 May,PA 31 May; Diaries of William Johnston Temple (Oxford 1929) 75,Royal Society of Musicians; for Decayed Musicians Fund; Sons of Clergy; Middlesex Hosp. Rehearsal 24 May (1200; 10s 6d).,1790-05-29 12:00:00
3338,3339,HSQ,SHIELD AND BLAKE 90,CB,10s 6d,DIR CRAMER-w.  1: HAYDN OV; TR VN VA VC CRAMER-w SHIELD CERVETTO-j (NEW); SG BIANCHI-3; SN PF CLEMENTI; SG CANTELO~; CN VN CRAMER-w. 2: HANDEL OV; ABINGDON SG 'MARY_QUEEN_OF_SCOTS' (INCLUDING LATIN_PENITENTIAL_PSALM); CN OB FISCHER; SG MARA~; BLAKE DT VN VA CRAMER-w BLAKE (NEW); BACH OV 2ORCH.,PA; PA 5 May; TI 23 Apr,GZ 2 June,From 30 Apr (MARA~'s [benefit]).,1790-05-31 20:00:00
3339,3340,P,VOGLER 90,MI,10s 6d,ORG VOGLER. [piece org vogler:]  1: PRELUDE; ADAGIO; ALLEGRO_FUGATO; CANTABILE; HARP_SONATE; PASTORAL; FLUTE_CONCERT.  2: INTRODUCTION_AND_HYMN; HUNTING_MUSIC; ARIA_CANTABILE_AND_ARIA_CONCERTANTE; IRISH_SONG (+ VAR).  3: MARCH; MARTIAL_MUSIC_OF_DRUMS_AND_FIFES ...; SWEDISH_FLAMBEAUX; DANCE; ADAGIO_MESTO; FRENCH_SONG_CONCERTED_BY_PF_AND_VDA; FUGA_A_TRE_SOGGETTI.,TI 29 May,,[His] last organ concert. [Further for Longman and Broderip etc: see MH 4 June for 5 June (Yale) (review DI 7 June); PA 30 June.],1790-05-31 13:00:00
3340,3341,WA,HANDEL 90 [3RD],OS,1gn,SELECTION FROM SACRED HANDEL [items listed]; INCLUDING HANDEL o ^ISRAEL_IN_EGYPT [PARTS1-2]. V MARA~ CANTELO~ MAHON~s POOLE~ DALL~ ABRAMS~T <T_ABRAMS> ABRAMS~ STORACE~ PACCHIEROTTI NORRIS KELLY-m SAVILLE SALE NIELD KNYVETT GRIFFITHS CHAMPNESS MATHEWS REYNOLDSON GORE GOSS HUDSON CORFE BARTLEMAN BELLAMY; [instrumentalists listed].,PA; PA 24 May; PA 27 May,,Royal Society of Musicians; for Decayed Musicians Fund; Sons of Clergy; Middlesex Hosp. Rehearsal 27 May (1200; 10s 6d).,1790-06-01 12:00:00
3341,3342,HSQ,BRIDGETOWER  AND CLEMENT 90,CB,10s 6d,DIR CRAMER-w.  1: HAYDN SYM; ANFOSSI SG CLEMENT~ + VN CLEMENT [DI 2 June: by PLEYEL]; PLEYEL QT VN VN VA VC CLEMENT BRIDGETOWER WARE-1 ATTWOOD-f <MASTERS>; SG BIANCHI-3; CLEMENT CN VN CLEMENT; SG STORACE~.  2: CLEMENT OV <MASTER>; SG STORACE~; GIORNOVICHI CN VN BRIDGETOWER; SG BIANCHI-3; DAVAUX CNTE VN VN BRIDGETOWER CLEMENT; FP.,DI; TI 27 May; WO 1 June,Letter from Vogler in Musikalische Korrespondenz 1 (1790) 3.,Patronage of Prince of Wales. CLEMENT: aged 8-and-half [Josephine R B Wright: 'George Polgreen Bridgetower' Musical Quarterly 66 (1980) 76.],1790-06-02 20:00:00
3342,3343,WA,HANDEL 90 [4TH],OS,1gn,handel o ^MESSIAH^. LEAD CRAMER-w; V MARA~ CANTELO~ MAHON~s POOLE~ DALL~ ABRAMS~T <T_ABRAMS> ABRAMS~ STORACE~ PACCHIEROTTI NORRIS KELLY-m SAVILLE SALE NIELD KNYVETT GRIFFITHS CHAMPNESS MATHEWS REYNOLDSON GORE GOSS HUDSON CORFE BARTLEMAN BELLAMY; [instrumentalists listed]. BEFORE PART3: handel CNgr <4TH OB CN>.,PA; PA 24 May,PA 4 June,Royal Society of Musicians; for Decayed Musicians Fund; Sons of Clergy; Middlesex Hosp.,1790-06-03 12:00:00
3343,3344,V,VAUXHALL 90,GS,1s,BETWEEN PARTS: MARCH DUKE_OF_YORK'S_BAND <MARTIAL MUSIC>.  1: BARTHELEMON OV and BARTHELEMON MARCH (CUMBERLAND_MARCH); SG INCLEDON; HANDEL OV from HANDEL o ^JUDAS_MACCABAEUS^; SG NEWMAN~; HAYDN OV 'LA_CHASSE' (FULL); SG LEAVER~; CN BN PARKINSON; SG PAGE; CN ORG HOOK (NEW); SG LEARY~; GL (SERIOUS) AND CT (LAUGHING).  2: SG INCLEDON; CN VN PIELTAIN-dp; SG NEWMAN~ (NEW; WITH CARILLON BY HOOK); o ^SHEPHERDS_FESTIVAL^; ch 'GOD_SAVE_GREAT_GEORGE_OUR_KING'.,PA,WO 7 June,In commemoration of [the King's] birthday.,1790-06-05 20:00:00
3344,3345,R,RANELAGH 90,GB,10s 6d,1: FEDERICI OV; FEDERICI SG COSTA 'O_PIU'; FEDERICI SG BORSELLI~ 'SPIEGAR'; CIMAROSA SG NERI-g 'SEI_MORELLI'; GIORDANI SG SESTINI~ 'CONTENDO'; ANDREOZZI SG BENIGNI 'CHE_LEGGE'; ANFOSSI SG BORSELLI 'VELOCE_AL'; FEDERICI SG MARCHESI 'SPERAI_VICINO'.  2: GAZZANIGA SG TORREGIANI 'SE_MAI'; FEDERICI SG BORSELLI~ 'LASCIA_OH'; CIMAROSA SG MUSSINI 'CARA_NEL'; GIARDINI SG LAURENTI~; CHERUBINI SG COSTA 'VADO'; DT SESTINI~ BORSELLI~ 'OCCHIETTO'; FEDERICI sg MARCHESI 'SPOSA_AMATA' <RONDO>.  3: ANDREOZZI SG BENIGNI 'CONTRO_LA'; bernardini? SG BORSELLI 'CHE_VUOL' <DA_CAPUA>; TONIOLI SG SESTINI~ 'SE_UN'; FEDERICI SG MUSSINI 'UN_TENERO'; PAISIELLO QT 4v from PAISIELLO o ^GLI_SCHIAVI_per_amore^ <OPERA>; MARTIN_Y_soler SG NERI-g 'SE_UN' <MARTINI>; FEDERICI SG MARCHESI 'PRUDENTE'. [DANCE-MUSIC BY GIORNOVICHI.] [MARA~ ABSENT.],PA,WO 30 June,Serenade of singing and dancing. [No beneficiary named; but evidently an exceptional occasion; some spellings unclear.],1790-06-29 20:00:00
3345,3346,TOP,TIBBS 90,CB,7s,[TIBBS <W_TIBBS>.] LEAD CRAMER-w.,WO 8 July,,W Tibbs: tenth annual concert.,1790-07-12 12:00:00
3346,3347,*,SORMANY'S 90,MI,10s 6d (4 persons),mgl <ARMONICA>.,PA,,* At Sormany's in Golden Square. Also on 30 July.,1790-07-27 13:00:00
3347,3348,V,VAUXHALL 90,GS,1s,SELECTION OF FAV MUSIC. V INCLEDON DARLEY PAGE LEARY~ LEAVER~ NEWMAN~.  1: CN ORG HOOK; CN BN PARKINSON; CN OB PARKE; hook o ^THE_MUSICAL_COURTSHIP^.  2: CN VN PIELTAIN-dp; GL (SERIOUS); CT (LAUGHING).,PA,,Last concert.,1790-08-26 19:30:00
3348,3349,FMH,AAM 90-91,SOC,,COND ARNOLD; LEAD SALOMON; V STORACE~ ABRAMS~ ABRAMS~T <T_ABRAHAMS> KELLY-m SALE BARTLEMAN GORE PAGE.,PA 25 Nov 1790,,Academy of Ancient Music: general rehearsal of first concert.,1790-12-09 19:00:00
